Chromosome,Start,End,Start_b,End_b,Gene
chr2,208247797,208247798,208247381,208248660,ENSG00000138413;
chr2,208236292,208236293,208236228,208237169,ENSG00000138413;
chr2,208236292,208236293,208236231,208237169,ENSG00000138413;
chr2,208236292,208236293,208236264,208237169,ENSG00000138413;
chr2,208247949,208247950,208247381,208248660,ENSG00000138413;
chr2,208222538,208222539,208222161,208222625,ENSG00000228111;
chr2,208236790,208236791,208236228,208237169,ENSG00000138413;
chr2,208236790,208236791,208236231,208237169,ENSG00000138413;
chr2,208236790,208236791,208236264,208237169,ENSG00000138413;
chr2,208236790,208236791,208236741,208237169,ENSG00000138413;
chr2,208236316,208236317,208236228,208237169,ENSG00000138413;
chr2,208236316,208236317,208236231,208237169,ENSG00000138413;
chr2,208236316,208236317,208236264,208237169,ENSG00000138413;
chr2,208243484,208243485,208243426,208243604,ENSG00000138413;
chr2,208243484,208243485,208243426,208243604,ENSG00000138413;
chr2,208243484,208243485,208243426,208243604,ENSG00000138413;
chr2,208247507,208247508,208247381,208248660,ENSG00000138413;
chr2,208236479,208236480,208236228,208237169,ENSG00000138413;
chr2,208236479,208236480,208236231,208237169,ENSG00000138413;
chr2,208236479,208236480,208236264,208237169,ENSG00000138413;
chr2,208245327,208245328,208245318,208245424,ENSG00000138413;
chr2,208245327,208245328,208245318,208245424,ENSG00000138413;
chr2,208245327,208245328,208245318,208245424,ENSG00000138413;
chr2,208247817,208247818,208247381,208248660,ENSG00000138413;
chr2,208247802,208247803,208247381,208248660,ENSG00000138413;
chr2,208222208,208222209,208222161,208222625,ENSG00000228111;
chr15,90087240,90087241,90087111,90087263,ENSG00000182054;
chr15,90087240,90087241,90087111,90087263,ENSG00000182054;
chr15,90087240,90087241,90087111,90087263,ENSG00000182054;
chr15,90087240,90087241,90087111,90087263,ENSG00000182054;
chr15,90082070,90082071,90079659,90082191,ENSG00000140548;
chr15,90082070,90082071,90081438,90082207,ENSG00000259291;
chr15,90082070,90082071,90081769,90082206,ENSG00000140548;
chr15,90085035,90085036,90085000,90085098,ENSG00000182054;
chr15,90085035,90085036,90085000,90085098,ENSG00000182054;
chr15,90085035,90085036,90085000,90085098,ENSG00000182054;
chr15,90085035,90085036,90085000,90085098,ENSG00000182054;
chr15,90075158,90075159,90074511,90076644,ENSG00000259291;
chr15,90084280,90084281,90083044,90084353,ENSG00000182054;
chr15,90084280,90084281,90083995,90084353,ENSG00000182054;
chr15,90084280,90084281,90084013,90084353,ENSG00000182054;
chr15,90084280,90084281,90084176,90084353,ENSG00000182054;
chr15,90080407,90080408,90079659,90082191,ENSG00000140548;
chr15,90074311,90074312,90074115,90074532,ENSG00000140548;
chr15,90084036,90084037,90083044,90084353,ENSG00000182054;
chr15,90084036,90084037,90083995,90084353,ENSG00000182054;
chr15,90084036,90084037,90084013,90084353,ENSG00000182054;
chr15,90088727,90088728,90088586,90088747,ENSG00000182054;
chr15,90088727,90088728,90088586,90088747,ENSG00000182054;
chr15,90088727,90088728,90088586,90088747,ENSG00000182054;
chr15,90074481,90074482,90074115,90074532,ENSG00000140548;
chr15,90074481,90074482,90074378,90074536,ENSG00000140548;
chr15,90084346,90084347,90083044,90084353,ENSG00000182054;
chr15,90084346,90084347,90083995,90084353,ENSG00000182054;
chr15,90084346,90084347,90084013,90084353,ENSG00000182054;
chr15,90084346,90084347,90084176,90084353,ENSG00000182054;
chr15,90074977,90074978,90074511,90076644,ENSG00000259291;
chr15,90081187,90081188,90079659,90082191,ENSG00000140548;
chr15,90087208,90087209,90087111,90087263,ENSG00000182054;
chr15,90087208,90087209,90087111,90087263,ENSG00000182054;
chr15,90087208,90087209,90087111,90087263,ENSG00000182054;
chr15,90087208,90087209,90087111,90087263,ENSG00000182054;
chr15,90079973,90079974,90079659,90082191,ENSG00000140548;
chr15,90082047,90082048,90079659,90082191,ENSG00000140548;
chr15,90082047,90082048,90081438,90082207,ENSG00000259291;
chr15,90082047,90082048,90081769,90082206,ENSG00000140548;
chr15,90080453,90080454,90079659,90082191,ENSG00000140548;
chr15,90083389,90083390,90083044,90084353,ENSG00000182054;
chr15,90087129,90087130,90087111,90087263,ENSG00000182054;
chr15,90087129,90087130,90087111,90087263,ENSG00000182054;
chr15,90087129,90087130,90087111,90087263,ENSG00000182054;
chr15,90087129,90087130,90087111,90087263,ENSG00000182054;
chr15,90080703,90080704,90079659,90082191,ENSG00000140548;
chr15,90080713,90080714,90079659,90082191,ENSG00000140548;
chr15,90084056,90084057,90083044,90084353,ENSG00000182054;
chr15,90084056,90084057,90083995,90084353,ENSG00000182054;
chr15,90084056,90084057,90084013,90084353,ENSG00000182054;
chr15,90084233,90084234,90083044,90084353,ENSG00000182054;
chr15,90084233,90084234,90083995,90084353,ENSG00000182054;
chr15,90084233,90084234,90084013,90084353,ENSG00000182054;
chr15,90084233,90084234,90084176,90084353,ENSG00000182054;
chr15,90088586,90088587,90088586,90088747,ENSG00000182054;
chr15,90088586,90088587,90088586,90088747,ENSG00000182054;
chr15,90088586,90088587,90088586,90088747,ENSG00000182054;
chr15,90083515,90083516,90083044,90084353,ENSG00000182054;
chr15,90084135,90084136,90083044,90084353,ENSG00000182054;
chr15,90084135,90084136,90083995,90084353,ENSG00000182054;
chr15,90084135,90084136,90084013,90084353,ENSG00000182054;
chr15,90088612,90088613,90088586,90088747,ENSG00000182054;
chr15,90088612,90088613,90088586,90088747,ENSG00000182054;
chr15,90088612,90088613,90088586,90088747,ENSG00000182054;
chr15,90088607,90088608,90088586,90088747,ENSG00000182054;
chr15,90088607,90088608,90088586,90088747,ENSG00000182054;
chr15,90088607,90088608,90088586,90088747,ENSG00000182054;
chr15,90075089,90075090,90074511,90076644,ENSG00000259291;
chr15,90080850,90080851,90079659,90082191,ENSG00000140548;
chr15,90079890,90079891,90079659,90082191,ENSG00000140548;
chr15,90075121,90075122,90074511,90076644,ENSG00000259291;
chr15,90083553,90083554,90083044,90084353,ENSG00000182054;
chr15,90079843,90079844,90079659,90082191,ENSG00000140548;
chr15,90085030,90085031,90085000,90085098,ENSG00000182054;
chr15,90085030,90085031,90085000,90085098,ENSG00000182054;
chr15,90085030,90085031,90085000,90085098,ENSG00000182054;
chr15,90085030,90085031,90085000,90085098,ENSG00000182054;
chr15,90083551,90083552,90083044,90084353,ENSG00000182054;
chr15,90083205,90083206,90083044,90084353,ENSG00000182054;
